Candle Time (Ghana),QQQ Score,QQQ Flow Z Change,QQQ Momentum Z Change,QQQ Volatility Z Change,QQQ Price,QQQ Flow Event,QQQ Ready,NQ Score,NQ Flow Z Change,NQ Momentum Z Change,NQ Volatility Z Change,NQ Price,NQ Flow Event,NQ Ready,Signal Time (Ghana),Confirmation Score,Signal,Reason,New Alert,Base Signal,QQQ Daily Z,QQQ Daily Momentum Z,QQQ Alert Time (Ghana),QQQ Daily Alert,NQ Daily Z,NQ Daily Momentum Z,NQ Alert Time (Ghana),NQ Daily Alert,VIX Daily Z,VIX Daily Momentum Z,VIX Alert Time (Ghana),VIX Daily Alert,Daily Alert Confirmation,Daily Alert Reason
2026-08-09 22:00:00+00:00,,,,,,,,-8.76665580271115,-0.01669566048449611,-0.3212097453215137,-0.3477932862640408,29844.25,Drop,True,2026-08-09 23:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.4129694661825878,1.0285240187562996,2026-08-09 23:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-09 23:00:00+00:00,,,,,,,,3.429470120938885,-0.13960933404202103,0.510174527275991,-0.32904173718453344,29829.5,Drop,True,2026-08-10 00:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 00:00:00+00:00,,,,,,,,-14.221171819384548,-0.10831564200522292,-0.21444216848329956,0.165985692110878,29802.0,Drop,True,2026-08-10 01:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 01:00:00+00:00,,,,,,,,6.691502333164564,-0.04726757320894737,0.36554285328097635,0.05159724505758079,29885.0,Drop,True,2026-08-10 02:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 02:00:00+00:00,,,,,,,,-6.803487312457415,-0.10086486397276961,-0.030891251084665505,-0.3334259260830237,29880.25,Drop,True,2026-08-10 03:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 03:00:00+00:00,,,,,,,,-6.337770151732254,-0.0992040808257979,-0.016200416332362577,-0.4533220499563756,29880.0,Drop,True,2026-08-10 04:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 04:00:00+00:00,,,,,,,,-5.346769519369072,-0.05029824559080798,-0.09352845335346482,-0.3118567858221528,29882.75,Drop,True,2026-08-10 05:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 05:00:00+00:00,,,,,,,,-6.4107073671686745,-0.058023209427601086,-0.11787153264156691,-0.19925643904594437,29930.5,Drop,True,2026-08-10 06:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 06:00:00+00:00,,,,,,,,-8.558557878461295,-0.05263686381557986,-0.21959328902725161,-0.10883788924888238,29908.5,Drop,True,2026-08-10 07:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
2026-08-10 07:00:00+00:00,,,,,,,,9.229844063280877,0.03336104149675423,0.18776864639180801,0.17435273357303527,29951.5,Rise,True,2026-08-10 08:00:00+00:00,,WAIT,No matching QQQ candle,False,WAIT,,,,,1.1695896576935272,1.5386985460322906,2026-08-10 00:00:00+00:00,POSITIVE Z-SCORE,,,,,WAIT,No same-day alert available yet: QQQ VIX
