Signal Time (Ghana),Signal,QQQ Score,NQ Score,Status,Reason
2026-08-10 23:00:00+00:00,SELL,-22.652018505875763,-11.711870067827416,Traded,Stop loss
2026-08-12 13:00:00+00:00,BUY,12.986390478441178,86.93236668343359,Traded,Stop loss
2026-08-13 11:00:00+00:00,BUY,15.08493654918785,39.98427088466918,Traded,Take profit
2026-08-13 14:00:00+00:00,BUY,13.146758088468294,75.46022299383198,Traded,Stop loss
2026-08-17 10:00:00+00:00,SELL,-14.953322637306682,-10.007880589016995,Traded,Stop loss
2026-08-18 21:00:00+00:00,SELL,-26.102070503825747,-11.626746019676357,Skipped,No completed 5-minute entry candle at the exact signal time
2026-08-20 14:00:00+00:00,BUY,13.659615319032994,53.71738492706929,Traded,Take profit
2026-08-20 21:00:00+00:00,BUY,15.00401721686409,17.129522988340195,Skipped,No completed 5-minute entry candle at the exact signal time
2026-08-21 09:00:00+00:00,BUY,10.582601870625028,11.819934855559083,Traded,Stop loss
2026-08-21 12:00:00+00:00,SELL,-12.858765424979243,-31.02990849263978,Traded,Stop loss
2026-08-24 12:00:00+00:00,SELL,-11.099199238559956,-26.659476843083674,Traded,Take profit
2026-08-25 09:00:00+00:00,BUY,22.976194243600716,22.782660769324337,Traded,Stop loss
2026-08-25 12:00:00+00:00,SELL,-24.36014066087721,-32.60658181479956,Skipped,Earlier position still open
2026-08-25 14:00:00+00:00,SELL,-16.867509375460017,-62.541632025001135,Skipped,Earlier position still open
2026-08-26 00:00:00+00:00,SELL,-14.051886032572853,-15.438090848426109,Traded,Stop loss
2026-08-26 11:00:00+00:00,BUY,21.998780674479505,43.1835633895581,Traded,Stop loss
2026-08-26 13:00:00+00:00,SELL,-16.717533619670096,-68.34248072927916,Traded,Stop loss
2026-08-27 21:00:00+00:00,SELL,-17.653464728420996,-22.528816979212436,Skipped,No completed 5-minute entry candle at the exact signal time
2026-08-28 12:00:00+00:00,SELL,-10.005224063297334,-51.86321740213842,Traded,Stop loss
2026-08-28 14:00:00+00:00,SELL,-12.293459234088754,-77.1655975580443,Traded,Stop loss
2026-09-01 09:00:00+00:00,SELL,-17.130492776418514,-46.60091118402882,Traded,Take profit
2026-09-01 13:00:00+00:00,BUY,15.51381475261665,25.197246477037737,Traded,Stop loss
2026-09-02 11:00:00+00:00,BUY,10.394230087805537,57.088086431709264,Traded,Stop loss
2026-09-03 11:00:00+00:00,SELL,-23.550669517532786,-24.994510873663465,Traded,Stop loss
2026-09-03 14:00:00+00:00,BUY,13.104411440980288,70.44674782456676,Traded,Stop loss
2026-09-03 21:00:00+00:00,SELL,-22.694740585953905,-10.689217888155977,Skipped,No completed 5-minute entry candle at the exact signal time
2026-09-04 21:00:00+00:00,SELL,-22.659366382755998,-18.466664759761727,Skipped,No completed 5-minute entry candle at the exact signal time
